1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
17.64,18.77,16.783,18.75,18.75,168011668.0,0.0,1.0
13.48,15.35,13.01,14.93,14.93,139771557.0,0.0,1.0
15.09,15.74,13.821,14.1,14.1,115290320.0,0.0,1.0
18.11,18.13,16.07,16.07,16.07,93265235.0,0.0,1.0
19.0,19.1,17.22,17.77,17.77,105883566.0,0.0,1.0
18.56,20.55,18.51,20.17,20.17,84306714.0,0.0,1.0
18.23,18.75,17.58,17.98,17.98,74932445.0,0.0,1.0
18.85,20.03,18.04,18.12,18.12,79649607.0,0.0,1.0
20.09,20.29,18.55,18.63,18.63,68599391.0,0.0,1.0
21.73,21.81,19.7203,19.88,19.88,69419386.0,0.0,1.0
21.9,22.21,20.63,21.77,21.77,47212003.0,0.0,1.0
22.56,23.345,21.73,21.87,21.87,50401982.0,0.0,1.0
21.43,23.145,20.935,22.84,22.84,83996570.0,0.0,1.0
21.33,21.57,20.19,20.94,20.94,56994033.0,0.0,1.0
18.5,21.3093,18.47,21.22,21.22,77198444.0,0.0,1.0
22.02,22.5,20.45,20.46,20.46,49465066.0,0.0,1.0
22.36,22.96,21.32,21.77,21.77,55693095.0,0.0,1.0
24.78,24.7898,22.74,23.21,23.21,52112706.0,0.0,1.0
25.24,26.27,24.65,24.72,24.72,34541638.0,0.0,1.0
25.4,25.84,25.05,25.61,25.61,32627201.0,0.0,1.0
24.31,25.8401,24.2,25.79,25.79,47215175.0,0.0,1.0
23.76,24.54,23.34,23.79,23.79,41441607.0,0.0,1.0
24.99,25.68,23.7,24.1,24.1,47870128.0,0.0,1.0
25.05,26.405,25.02,25.35,25.35,54337707.0,0.0,1.0
25.4465,26.24,25.045,26.1,26.1,56547708.0,0.0,1.0
23.99,24.86,23.54,24.69,24.69,42607164.0,0.0,1.0
23.78,24.78,23.53,23.99,23.99,39661848.0,0.0,1.0
23.46,24.32,22.73,23.96,23.96,45771717.0,0.0,1.0
22.96,24.62,22.95,23.13,23.13,55361292.0,0.0,1.0
24.89,24.89,23.01,23.76,23.76,60475381.0,0.0,1.0
24.89,25.23,23.56,24.84,24.84,81994298.0,0.0,1.0
21.73,24.64,21.6,24.51,24.51,96028798.0,0.0,1.0
20.66,21.32,19.31,20.9,20.9,96701088.0,0.0,1.0
22.8,22.8092,20.96,21.11,21.11,78287903.0,0.0,1.0
24.6,24.78,22.53,22.66,22.66,72125662.0,0.0,1.0
24.16,25.01,23.38,23.79,23.79,53046976.0,0.0,1.0
25.73,25.98,23.1,24.87,24.87,94328983.0,0.0,1.0
28.98,28.9902,27.22,27.35,27.35,60210526.0,0.0,1.0
29.46,30.88,29.05,29.13,29.13,45217097.0,0.0,1.0
29.72,30.1471,28.605,28.63,28.63,33559319.0,0.0,1.0
30.0301,30.9099,29.595,29.61,29.61,33078229.0,0.0,1.0
30.28,31.32,30.08,30.95,30.95,34862552.0,0.0,1.0
31.68,31.85,30.48,30.48,30.48,35401253.0,0.0,1.0
31.2,31.86,30.34,31.68,31.68,54271691.0,0.0,1.0
28.85,30.4383,28.47,30.02,30.02,40791363.0,0.0,1.0
29.0,29.155,27.78,28.91,28.91,44833597.0,0.0,1.0
29.45,30.42,28.78,29.3,29.3,40781546.0,0.0,1.0
30.01,30.54,28.28,29.31,29.31,48723158.0,0.0,1.0
30.97,31.94,29.78,29.88,29.88,42442725.0,0.0,1.0
33.35,33.39,31.11,31.58,31.58,47866761.0,0.0,1.0
33.52,33.8,31.88,33.47,33.47,64409566.0,0.0,1.0
32.04,32.98,31.6627,31.68,31.68,67229713.0,0.0,1.0
27.89,33.04,27.8,32.42,32.42,137245844.0,0.0,1.0
29.555,29.62,27.52,28.25,28.25,51169727.0,0.0,1.0
29.88,30.19,29.47,29.63,29.63,28807151.0,0.0,1.0
30.39,31.3209,29.81,29.96,29.96,36081100.0,0.0,1.0
29.61,30.8,28.97,30.52,30.52,38379713.0,0.0,1.0
29.56,30.38,29.33,29.85,29.85,38368899.0,0.0,1.0
28.73,30.25,28.6658,30.16,30.16,73653171.0,0.0,1.0
29.45,29.46,27.79,28.16,28.16,56945607.0,0.0,1.0
29.53,30.51,28.02,30.0,30.0,54537345.0,0.0,1.0
31.05,31.64,29.75,30.07,30.07,42744138.0,0.0,1.0
31.5,31.84,29.06,30.79,30.79,80802072.0,0.0,1.0
32.23,32.38,31.2,32.3,32.3,45998516.0,0.0,1.0
33.68,34.6697,32.9,33.66,33.66,31857904.0,0.0,1.0
33.9,34.55,33.25,34.26,34.26,32196330.0,0.0,1.0
34.875,35.55,33.9,34.05,34.05,36271413.0,0.0,1.0
33.82,35.3,33.05,35.05,35.05,48881023.0,0.0,1.0
34.44,34.52,32.68,33.12,33.12,51769738.0,0.0,1.0
32.35,33.32,29.66,32.34,32.34,70041660.0,0.0,1.0
34.58,35.22,31.5,32.15,32.15,106366591.0,0.0,1.0
38.832,39.68,34.02,36.2,36.2,85263177.0,0.0,1.0
40.41,40.83,38.2,38.31,38.31,48129781.0,0.0,1.0
40.37,41.42,38.355,39.13,39.13,47970901.0,0.0,1.0
40.85,41.2,39.4935,40.46,40.46,35113870.0,0.0,1.0
39.4,40.3431,39.1,39.99,39.99,30468526.0,0.0,1.0
41.7,42.51,40.89,41.42,41.42,33467162.0,0.0,1.0
41.5,43.12,40.47,42.04,42.04,55094260.0,0.0,1.0
40.42,42.84,40.25,41.49,41.49,70987477.0,0.0,1.0
38.59,39.0999,38.0,38.66,38.66,30069135.0,0.0,1.0
39.0,39.44,37.45,38.41,38.41,42260165.0,0.0,1.0
40.57,40.92,39.07,39.67,39.67,35829920.0,0.0,1.0
40.89,41.3,40.02,40.67,40.67,37098978.0,0.0,1.0
42.6,42.69,40.02,40.57,40.57,47571747.0,0.0,1.0
42.69,43.55,41.91,42.67,42.67,34492479.0,0.0,1.0
40.89,42.22,40.3535,42.2,42.2,39933984.0,0.0,1.0
40.89,42.09,38.83,39.55,39.55,48507260.0,0.0,1.0
43.49,43.8,40.6,40.64,40.64,46779043.0,0.0,1.0
42.65,44.27,42.28,43.2,43.2,38487866.0,0.0,1.0
43.52,43.52,41.8204,42.29,42.29,33048651.0,0.0,1.0
42.76,44.0,42.5,43.12,43.12,53634404.0,0.0,1.0
41.98,42.4099,40.63,41.5,41.5,34202140.0,0.0,1.0
40.47,42.4934,40.2,41.3,41.3,46023476.0,0.0,1.0
38.11,40.84,38.11,40.84,40.84,52785374.0,0.0,1.0
40.25,40.55,39.21,39.41,39.41,33423087.0,0.0,1.0
39.53,40.8,39.19,40.79,40.79,32774177.0,0.0,1.0
40.9,41.28,39.255,39.31,39.31,28750948.0,0.0,1.0
41.29,42.61,40.47,40.47,40.47,55875366.0,0.0,1.0
39.4,41.42,39.24,41.27,41.27,46935630.0,0.0,1.0
39.96,40.39,38.54,38.88,38.88,28015498.0,0.0,1.0
39.51,40.605,39.37,39.97,39.97,25389088.0,0.0,1.0
39.97,40.34,39.16,39.78,39.78,25120668.0,0.0,1.0
40.27,40.8999,39.56,40.03,40.03,37820034.0,0.0,1.0
37.49,39.84,37.27,39.61,39.61,43499423.0,0.0,1.0
36.99,38.29,36.935,37.71,37.71,48168966.0,0.0,1.0
36.21,36.45,35.605,36.28,36.28,29898439.0,0.0,1.0
35.78,36.68,35.47,36.24,36.24,33439639.0,0.0,1.0
35.7,36.045,35.18,35.51,35.51,26591961.0,0.0,1.0
36.09,36.52,35.53,35.64,35.64,25400149.0,0.0,1.0
36.44,36.55,35.83,35.83,35.83,31959804.0,0.0,1.0
35.44,36.64,34.91,35.99,35.99,67945224.0,0.0,1.0
