date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-03-15,152.9,156.42,150.12,155.98,155.98,4245352.0,0.0,1.0
2022-03-14,159.99,161.7,150.42,153.19,153.19,4450007.0,0.0,1.0
2022-03-11,175.35,175.75,160.0,160.07,160.07,3660530.0,0.0,1.0
2022-03-10,173.135,174.49,168.1001,172.97,172.97,2670643.0,0.0,1.0
2022-03-09,174.26,181.45,173.51,178.97,178.97,4945198.0,0.0,1.0
2022-03-08,160.1,168.35,156.53,161.99,161.99,3840779.0,0.0,1.0
2022-03-07,168.25,172.9799,160.23,161.14,161.14,4424038.0,0.0,1.0
2022-03-04,177.605,178.664,162.1603,165.75,165.75,5861262.0,0.0,1.0
2022-03-03,194.71,194.92,177.1501,178.03,178.03,3734379.0,0.0,1.0
2022-03-02,192.26,196.1499,189.51,194.5,194.5,3414149.0,0.0,1.0
2022-03-01,196.28,205.88,189.63,196.17,196.17,7779188.0,0.0,1.0
2022-02-28,172.5,192.23,172.09,190.77,190.77,8036264.0,0.0,1.0
2022-02-25,180.24,182.0899,170.4024,176.83,176.83,6836807.0,0.0,1.0
2022-02-24,159.08,183.0,155.92,179.56,179.56,8133964.0,0.0,1.0
2022-02-23,180.69,183.34,171.7743,172.74,172.74,3892472.0,0.0,1.0
2022-02-22,180.87,185.75,173.16,176.76,176.76,4393281.0,0.0,1.0
2022-02-18,191.08,192.72,180.5444,189.16,189.16,4502229.0,0.0,1.0
2022-02-17,202.1,206.306,188.93,191.92,191.92,4740622.0,0.0,1.0
2022-02-16,205.38,214.02,203.8335,207.96,207.96,3593552.0,0.0,1.0
2022-02-15,202.31,209.31,201.18,208.95,208.95,3714304.0,0.0,1.0
2022-02-14,193.4848,203.5575,193.4601,195.25,195.25,4528089.0,0.0,1.0
2022-02-11,205.8,205.98,191.02,194.53,194.53,5054238.0,0.0,1.0
2022-02-10,210.57,217.49,202.86,204.77,204.77,4587434.0,0.0,1.0
2022-02-09,210.18,215.25,207.61,214.5,214.5,3811658.0,0.0,1.0
2022-02-08,200.37,209.2472,196.75,208.73,208.73,4639061.0,0.0,1.0
2022-02-07,198.7,211.1099,198.2,205.74,205.74,6668315.0,0.0,1.0
2022-02-04,181.02,197.0,177.45,194.44,194.44,4397868.0,0.0,1.0
2022-02-03,182.261,189.3,179.0,181.31,181.31,3417048.0,0.0,1.0
2022-02-02,195.8087,197.0,181.73,187.37,187.37,3861718.0,0.0,1.0
2022-02-01,197.97,201.45,188.62,197.73,197.73,5159003.0,0.0,1.0
2022-01-31,177.87,192.0,175.03,190.15,190.15,4060455.0,0.0,1.0
2022-01-28,169.1,181.75,162.2,177.58,177.58,6475768.0,0.0,1.0
2022-01-27,182.0294,182.75,168.58,170.2,170.2,5551899.0,0.0,1.0
2022-01-26,193.6009,198.0548,177.0,178.64,178.64,7566264.0,0.0,1.0
2022-01-25,185.165,193.12,177.15,185.63,185.63,6271264.0,0.0,1.0
2022-01-24,173.18,191.86,162.51,191.48,191.48,12999147.0,0.0,1.0
2022-01-21,209.98,210.19,186.86,191.97,191.97,13628293.0,0.0,1.0
2022-01-20,222.3,232.0,220.8369,221.62,221.62,3691232.0,0.0,1.0
2022-01-19,224.245,227.17,218.8201,219.5,219.5,2958542.0,0.0,1.0
2022-01-18,226.82,227.19,219.6001,222.0,222.0,3467075.0,0.0,1.0
